Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Avg_Monthly_Bal
Female,false,0,Graduate,false,2378.0,0.0,9.0,360,1,Urban,false,8228.5785219657864
Female,false,0,Graduate,false,2378.0,0.0,9.0,360,1,Urban,false,6339.1908809913748
Male,true,2,Graduate,false,1299.0,1086.0,17.0,120,1,Urban,true,4414.0164262927847
Male,true,2,Graduate,false,1299.0,1086.0,17.0,120,1,Urban,true,6154.7391154672459
Male,true,0,Graduate,true,3459.0,0.0,25.0,120,1,Semiurban,true,16447.913540265919
Male,true,0,Graduate,true,3459.0,0.0,25.0,120,1,Semiurban,true,10726.065862249838
Male,false,0,Not Graduate,false,3620.0,0.0,25.0,120,1,Semiurban,true,10950.432154488151
Male,false,0,Not Graduate,false,3620.0,0.0,25.0,120,1,Semiurban,true,15241.939904154982
Male,true,1,Graduate,false,5468.0,1032.0,26.0,360,1,Semiurban,true,19931.411271116347
Male,true,1,Graduate,false,5468.0,1032.0,26.0,360,1,Semiurban,true,21730.834546490805
Female,false,3,Not Graduate,false,2083.0,0.0,28.0,180,1,Urban,true,9520.47483606171
Female,false,3,Not Graduate,false,2083.0,0.0,28.0,180,1,Urban,true,8815.0838610149549
Male,true,0,Graduate,false,1173.0,1594.0,28.0,180,1,Rural,false,2767.050575814575
Male,true,0,Graduate,false,1173.0,1594.0,28.0,180,1,Rural,false,3265.2643348987153
Male,true,1,Graduate,false,1538.0,1425.0,30.0,360,1,Urban,true,3934.9802767894957
Male,true,1,Graduate,false,1538.0,1425.0,30.0,360,1,Urban,true,6062.2978185426573
Male,true,2,Graduate,false,4116.0,1000.0,30.0,180,1,Urban,true,14945.729780646045
Male,true,2,Graduate,false,4116.0,1000.0,30.0,180,1,Urban,true,10307.894846931156
Female,false,0,Graduate,false,3237.0,0.0,30.0,360,1,Urban,true,12346.351059805374
Female,false,0,Graduate,false,3237.0,0.0,30.0,360,1,Urban,true,14285.01425757674
Female,true,0,Graduate,false,3166.0,0.0,36.0,360,1,Semiurban,true,12193.846760431334
Female,true,0,Graduate,false,3166.0,0.0,36.0,360,1,Semiurban,true,8814.2908301656826
Male,true,3,Graduate,false,4106.0,0.0,40.0,180,1,Rural,true,16323.584280089119
Male,true,3,Graduate,false,4106.0,0.0,40.0,180,1,Rural,true,10461.406452236559
Male,false,1,Graduate,false,16000.0,5000.0,40.0,360,1,Semiurban,true,57377.440838658811
Male,false,1,Graduate,false,16000.0,5000.0,40.0,360,1,Semiurban,true,40387.430716257819
Male,false,3,Graduate,false,4166.0,0.0,40.0,180,1,Urban,true,12010.944938506856
Male,false,3,Graduate,false,4166.0,0.0,40.0,180,1,Urban,true,15365.816108802523
Male,false,0,Graduate,false,2925.0,0.0,40.0,180,1,Rural,true,12507.605819553053
Male,false,0,Graduate,false,2925.0,0.0,40.0,180,1,Rural,true,13059.084539161739
Female,false,1,Graduate,false,13262.0,0.0,40.0,360,1,Urban,true,59964.955263224663
Female,false,1,Graduate,false,13262.0,0.0,40.0,360,1,Urban,true,55862.637849328516
Male,true,0,Graduate,false,3716.0,0.0,42.0,180,1,Rural,true,17004.829458862852
Male,true,0,Graduate,false,3716.0,0.0,42.0,180,1,Rural,true,16078.805886025184
Male,true,1,Graduate,false,5649.0,0.0,44.0,360,1,Urban,true,19825.944303736418
Male,true,1,Graduate,false,5649.0,0.0,44.0,360,1,Urban,true,19437.328734248051
Female,false,0,Graduate,false,4166.0,0.0,44.0,360,1,Semiurban,true,12389.53037835248
Female,false,0,Graduate,false,4166.0,0.0,44.0,360,1,Semiurban,true,10424.507598187405
Female,false,0,Graduate,false,2378.0,0.0,46.0,360,1,Rural,false,5512.9733473399347
Female,false,0,Graduate,false,2378.0,0.0,46.0,360,1,Rural,false,8563.761264762883
Male,false,2,Graduate,false,2400.0,0.0,46.0,360,1,Urban,true,11145.693962626539
Male,false,2,Graduate,false,2400.0,0.0,46.0,360,1,Urban,true,7016.5474077765475
Male,false,0,Not Graduate,false,4885.0,0.0,48.0,360,1,Rural,true,17605.774469074677
Male,false,0,Not Graduate,false,4885.0,0.0,48.0,360,1,Rural,true,18032.744369942349
Male,true,1,Not Graduate,false,1888.0,1620.0,48.0,360,1,Urban,true,5586.8228227711761
Male,true,1,Not Graduate,false,1888.0,1620.0,48.0,360,1,Urban,true,8906.0537828913111
Male,false,0,Graduate,false,1926.0,1851.0,50.0,360,1,Semiurban,true,9476.43399457068
Male,false,0,Graduate,false,1926.0,1851.0,50.0,360,1,Semiurban,true,7180.3750872240234
Male,true,1,Graduate,false,3988.0,0.0,50.0,240,1,Urban,true,13984.856683480644
Male,true,1,Graduate,false,3988.0,0.0,50.0,240,1,Urban,true,11830.073508217885
Male,false,0,Graduate,false,3254.0,0.0,50.0,360,1,Urban,true,10114.568572462322
Male,false,0,Graduate,false,3254.0,0.0,50.0,360,1,Urban,true,11329.559932212382
Male,false,0,Graduate,true,6356.0,0.0,50.0,360,1,Rural,true,15892.918401427783
Male,false,0,Graduate,true,6356.0,0.0,50.0,360,1,Rural,true,24068.279615670577
Male,true,0,Graduate,false,1977.0,997.0,50.0,360,1,Semiurban,true,8426.3666598609816
Male,true,0,Graduate,false,1977.0,997.0,50.0,360,1,Semiurban,true,8453.4307715068353
Male,true,2,Not Graduate,false,2687.0,0.0,50.0,180,1,Rural,true,8594.3139078814456
Male,true,2,Not Graduate,false,2687.0,0.0,50.0,180,1,Rural,true,8327.687788961568
Female,false,0,Graduate,false,1811.0,1666.0,54.0,360,1,Urban,true,7726.0333260995549
Female,false,0,Graduate,false,1811.0,1666.0,54.0,360,1,Urban,true,5266.1447689864526
Male,true,0,Graduate,false,3000.0,3416.0,56.0,180,1,Semiurban,true,13903.987214088138
Male,true,0,Graduate,false,3000.0,3416.0,56.0,180,1,Semiurban,true,11620.192997081118
Female,false,0,Graduate,false,2507.0,0.0,56.0,360,1,Rural,true,10786.244983547709
Female,false,0,Graduate,false,2507.0,0.0,56.0,360,1,Rural,true,6433.598663417798
Male,true,0,Graduate,false,2383.0,2138.0,58.0,360,1,Rural,true,7771.2241543321861
Male,true,0,Graduate,false,2383.0,2138.0,58.0,360,1,Rural,true,8435.8384787150389
Male,false,0,Not Graduate,false,2717.0,0.0,60.0,180,1,Urban,true,8002.6131899280763
Male,false,0,Not Graduate,false,2717.0,0.0,60.0,180,1,Urban,true,7263.2121222014366
Male,true,0,Graduate,false,2221.0,0.0,60.0,360,0,Urban,false,5644.6164901203356
Male,true,0,Graduate,false,2221.0,0.0,60.0,360,0,Urban,false,7442.4739724537867
Female,false,0,Graduate,false,2995.0,0.0,60.0,360,1,Urban,true,11697.083015925291
Female,false,0,Graduate,false,2995.0,0.0,60.0,360,1,Urban,true,10391.396430320088
Male,false,0,Graduate,false,2500.0,0.0,60.0,360,1,Urban,true,10834.905165418924
Male,false,0,Graduate,false,2500.0,0.0,60.0,360,1,Urban,true,8936.62403222943
Male,true,2,Not Graduate,false,1958.0,1456.0,60.0,300,1,Urban,true,9470.70529314065
Male,true,2,Not Graduate,false,1958.0,1456.0,60.0,300,1,Urban,true,5829.3880091367218
Female,false,1,Not Graduate,true,3867.0,0.0,62.0,360,1,Semiurban,false,11052.226124190125
Female,false,1,Not Graduate,true,3867.0,0.0,62.0,360,1,Semiurban,false,14242.750549229504
Female,false,0,Not Graduate,false,2107.0,0.0,64.0,360,1,Semiurban,true,5325.1471135713227
Female,false,0,Not Graduate,false,2107.0,0.0,64.0,360,1,Semiurban,true,7707.2484956211183
Male,true,0,Not Graduate,true,3943.0,0.0,64.0,360,1,Semiurban,true,19479.788317360948
Male,true,0,Not Graduate,true,3943.0,0.0,64.0,360,1,Semiurban,true,18344.686348555751
Male,true,1,Not Graduate,true,570.0,2125.0,68.0,360,1,Rural,true,2094.0249344798262
Male,true,1,Not Graduate,true,570.0,2125.0,68.0,360,1,Rural,true,1758.746708849236
